,COMID,Date,Time,HUC_12,State,Temp.C,pH.std_units,Alkalinity.ueq/kgw,pCO2.uatm,CO2.mg/l
0,916811,2001-10-01,00:00:00,110200010206,CO,9.2,8.55,1538.614,219.626500548942,0.534156657823
1,916811,2001-05-01,00:00:00,110200010206,CO,8.3,7.23,659.406,2014.37785888298,5.05629913079398
2,916811,2002-04-10,09:30:00,110200010206,CO,2.6,7.88,759.316,486.214356422887,1.50576017531821
3,916811,1999-09-15,00:00:00,110200010206,CO,9.8,7.49,1298.83,2199.08278686923,5.23888990286778
4,916811,1999-05-11,00:00:00,110200010206,CO,9.0,6.86,939.154,6759.63205623264,16.5560937674579
5,916811,1999-06-14,00:00:00,110200010206,CO,7.3,6.3,679.388,17490.6599060003,45.4892567964814
6,916811,1999-05-24,00:00:00,110200010206,CO,6.0,8.0,579.478,291.784885208226,0.795384362652124
7,916811,1999-05-11,00:00:00,110200010206,CO,3.5,6.6,1079.028,13291.0881211027,39.7655266128334
8,916811,2001-07-10,00:00:00,110200010206,CO,12.4,7.93,999.1,633.033497852679,1.38170934157698
9,916811,2002-04-10,10:41:00,110200010206,CO,2.9,7.81,779.298,588.249010734154,1.80084175294695
10,916811,2001-05-30,00:00:00,110200010206,CO,7.9,7.79,619.442,517.490952135632,1.31744274174694
11,916811,2001-05-01,00:00:00,110200010206,CO,5.8,7.19,679.388,2212.92694109307,6.07650377453241
12,916811,2001-10-01,00:00:00,110200010206,CO,7.9,8.17,1538.614,526.9709596499,1.34143329800796
13,916811,1999-09-15,00:00:00,110200010206,CO,10.9,6.63,1338.794,16666.0924641832,38.2429357885284
14,916531,2001-07-10,00:00:00,110200010206,CO,12.0,7.89,999.1,691.15449203504,1.52866761320437
15,916531,2002-04-10,11:30:00,110200010206,CO,3.5,7.89,779.298,491.848024994097,1.47160747491141
16,916531,2002-04-09,06:30:00,110200010206,CO,7.5,7.27,719.352,1984.12735254766,5.12351640386914
17,916531,2001-05-30,00:00:00,110200010206,CO,7.4,7.76,679.388,604.416715150379,1.56634263649143
18,916531,2001-10-01,00:00:00,110200010206,CO,7.5,8.16,1538.614,537.008583335943,1.38655841441483
19,916531,1999-09-15,00:00:00,110200010206,CO,7.5,6.83,1318.812,9956.4108790916,25.7081857117604
20,916531,1999-05-11,00:00:00,110200010206,CO,3.3,6.4,939.154,18332.1570494444,55.2680146330145
21,916531,2001-05-01,00:00:00,110200010206,CO,5.3,7.03,679.388,3182.63441167326,8.901461279425
22,916531,1999-06-14,00:00:00,110200010206,CO,6.3,7.22,699.37,2136.75276442209,5.76123692535573
23,916531,2001-10-01,00:00:00,110200010206,CO,7.0,8.19,1558.596,504.478749290144,1.32608862055632
24,916531,2001-05-01,00:00:00,110200010206,CO,4.2,7.24,699.37,1995.34671878955,5.81422531549622
25,916531,2002-04-10,11:20:00,110200010206,CO,3.8,7.42,819.262,1534.5600842392,4.53943966005555
26,916531,2001-05-30,00:00:00,110200010206,CO,7.0,7.66,679.388,758.165705255925,1.99314294436371
27,916543,1999-06-14,00:00:00,110200010206,CO,6.8,7.09,619.442,2570.91479520913,6.80756798952325
28,916543,2001-05-01,00:00:00,110200010206,CO,4.3,7.22,659.406,1973.28901492255,5.72842218501902
29,916543,2001-07-10,00:00:00,110200010206,CO,10.6,7.8,879.208,737.743204709736,1.71023911060046
30,916543,2002-04-10,12:00:00,110200010206,CO,3.9,7.73,639.424,587.704268025488,1.7319864549275
31,916543,1999-05-24,00:00:00,110200010206,CO,8.0,6.4,539.514,11143.9777436518,28.2706514971842
32,916543,2001-05-30,00:00:00,110200010206,CO,6.4,7.6,599.46,764.260848058758,2.05319772131765
33,916543,2001-10-01,00:00:00,110200010206,CO,6.8,8.25,1039.064,293.43700820094,0.776958207372278
34,916543,1999-09-15,00:00:00,110200010206,CO,6.8,6.98,1059.046,5630.83636417996,14.9092301724702
35,916543,1999-05-11,00:00:00,110200010206,CO,1.7,6.5,819.262,12520.2605895707,40.15341017573
36,916557,1999-09-15,00:00:00,110200010206,CO,8.3,6.88,1118.992,7613.44626626414,19.1095353904221
37,916557,2001-05-30,00:00:00,110200010206,CO,6.4,7.72,799.28,770.148750150393,2.06896778984952
38,916557,2001-05-01,00:00:00,110200010206,CO,5.2,7.01,719.352,3523.00053738278,9.88986847767529
39,916557,2001-07-10,00:00:00,110200010206,CO,10.1,7.91,1039.064,670.614942826127,1.5813060154044
40,916557,2001-10-01,00:00:00,110200010206,CO,5.9,8.03,1238.884,576.470983111362,1.57705152041433
41,916557,1999-05-24,00:00:00,110200010206,CO,7.0,6.5,579.478,9393.02491293065,24.6936246603319
42,916557,2002-04-10,12:00:00,110200010206,CO,4.6,7.6,739.334,922.779430040255,2.64886805728606
43,916809,2002-04-09,12:45:00,110200010206,CO,0.2,6.64,179.838,1987.21128510148,6.76371706430263
44,916809,2001-07-10,00:00:00,110200010206,CO,15.7,6.57,119.892,1859.93925247046,3.65155759155904
45,916809,2002-04-09,03:00:00,110200010206,CO,6.5,7.15,99.91,364.212996078577,0.974978188500251
46,916809,2001-05-02,00:00:00,110200010206,CO,5.1,6.0,59.946,3097.58764642668,8.72855063709461
47,916809,2001-10-01,00:00:00,110200010206,CO,10.9,7.43,139.874,280.656656168198,0.644099197554953
48,916809,2002-04-09,04:00:00,110200010206,CO,6.5,6.64,139.874,1650.51981829046,4.41833044236344
49,916809,2001-07-10,00:00:00,110200010206,CO,18.4,6.34,79.928,2194.24183331671,3.96581691199316
50,916809,2001-05-02,00:00:00,110200010206,CO,5.6,5.8,79.928,6595.42788092185,18.2451315227502
51,916809,2001-10-01,00:00:00,110200010206,CO,12.7,7.41,259.766,556.144101440264,1.20206388482261
52,916809,1999-05-12,00:00:00,110200010206,CO,8.2,6.1,219.802,9165.42916361615,23.0885528720928
53,916809,1999-09-16,00:00:00,110200010206,CO,10.8,6.1,439.604,18775.5373128338,43.2337440691761
54,916809,2001-10-01,00:00:00,110200010206,CO,14.1,7.31,279.748,767.374485956714,1.58492170878597
55,916809,2001-07-10,00:00:00,110200010206,CO,12.5,5.85,59.946,4798.98777732755,10.4413221745037
56,916809,1999-09-16,00:00:00,110200010206,CO,11.4,5.7,119.892,13251.7423634025,29.9051187437229
57,916809,2002-04-09,04:30:00,110200010206,CO,8.1,6.42,39.964,806.570300392933,2.03904944551174
58,916809,1999-09-16,00:00:00,110200010206,CO,6.6,5.8,159.856,13167.9277007622,35.1221845249822
59,916809,2001-07-10,00:00:00,110200010206,CO,20.6,6.08,59.946,3115.22151750689,5.27680007072929
60,916809,2001-05-02,00:00:00,110200010206,CO,5.2,6.11,59.946,2398.16092745261,6.73269674661782
61,916809,2001-07-10,00:00:00,110200010206,CO,12.5,5.85,59.946,4798.98777732755,10.4413221745037
62,916809,1999-09-16,00:00:00,110200010206,CO,7.6,5.7,119.892,12673.4070069999,32.6117770009343
63,916809,2001-10-01,00:00:00,110200010206,CO,13.2,7.4,439.604,965.562622212673,2.05310780111617
64,916809,2001-07-10,00:00:00,110200010206,CO,12.5,6.05,59.946,3002.05923307746,6.53168394550321
65,916809,2001-10-01,00:00:00,110200010206,CO,11.9,7.49,399.64,702.310967681074,1.55862011931743
66,916809,2002-04-09,05:15:00,110200010206,CO,8.8,6.94,79.928,485.905510306535,1.19855616038651
67,916809,1999-09-15,00:00:00,110200010206,CO,11.2,6.13,159.856,6462.22910423275,14.6814291889778
68,916809,2001-05-02,00:00:00,110200010206,CO,4.3,6.15,39.964,1452.67063324019,4.21737690477589
69,916811,2002-04-09,05:45:00,110200010206,CO,8.6,6.47,639.424,11298.6008159048,28.0634882698841
70,916811,2002-04-10,10:20:00,110200010206,CO,4.5,6.33,659.406,15372.9794935498,44.2943005866457
71,916811,2001-05-01,00:00:00,110200010206,CO,10.2,6.96,379.658,2220.10627646053,5.21753246563088
72,916811,1999-05-24,00:00:00,110200010206,CO,11.0,7.0,59.946,326.046874332945,0.745754136585323
73,916811,2001-05-30,00:00:00,110200010206,CO,10.3,6.59,79.928,1109.62691522586,2.59896945088296
74,916811,1999-09-15,00:00:00,110200010206,CO,12.7,6.42,519.532,10842.0946113889,23.4336750205903
75,916811,1999-05-11,00:00:00,110200010206,CO,3.5,5.95,59.946,3424.77886700132,10.2477757866872
76,916811,2001-05-02,00:00:00,110200010206,CO,4.9,6.71,219.802,2162.98844428348,6.14028029053926
77,916811,2001-10-01,00:00:00,110200010206,CO,10.1,7.84,2078.128,1561.67159867688,3.681969888569
78,916811,1999-06-14,00:00:00,110200010206,CO,11.0,5.7,199.82,21781.0005973251,49.8179982481217
79,916811,2001-07-10,00:00:00,110200010206,CO,16.8,7.38,559.496,1345.10843649633,2.55205444514457
80,916811,1999-09-16,00:00:00,110200010206,CO,7.4,6.1,479.568,19670.820164038,50.9780015470637
81,916493,2001-05-01,00:00:00,110200010202,CO,12.1,7.41,1398.74,2925.02762336134,6.44774228405319
82,916493,2001-10-01,00:00:00,110200010202,CO,10.0,8.48,1678.488,284.688319900547,0.673543741556504
83,916493,2002-04-10,09:42:00,110200010202,CO,4.4,7.89,1358.776,859.715581863638,2.48619573394481
84,916493,1999-05-11,00:00:00,110200010202,CO,8.0,8.4,1558.596,312.388855440872,0.792389861432459
85,916493,1999-09-15,00:00:00,110200010202,CO,9.5,7.3,1478.668,3860.22170817206,9.29159338230038
86,5239076,2001-07-11,00:00:00,101900010203,CO,4.1,6.39,1118.992,22487.6417211354,65.7703562972447
87,5239076,2001-10-02,00:00:00,101900010203,CO,7.8,7.04,1858.326,8633.60603055504,22.0546035676719
88,5239076,2001-05-31,00:00:00,101900010203,CO,2.0,5.94,299.73,16883.3960981736,53.5191293681178
89,916809,2001-05-02,00:00:00,110200010206,CO,1.1,6.92,239.784,1398.74886831846,4.59328317195658
90,916809,1999-05-25,00:00:00,110200010206,CO,9.0,6.1,79.928,3400.544612757,8.32963968599033
91,916529,2001-10-01,00:00:00,110200010206,CO,8.4,7.87,719.352,501.508177474245,1.25440852815391
92,916529,1999-05-11,00:00:00,110200010206,CO,5.5,6.78,539.514,4515.83662987974,12.5376737298138
93,916529,2001-05-01,00:00:00,110200010206,CO,7.4,7.04,459.586,2160.53498890438,5.59915768874038
94,916529,2002-04-10,10:45:00,110200010206,CO,3.6,8.01,419.622,201.928740136395,0.601904575671802
95,916809,2002-04-09,01:30:00,110200010206,CO,0.2,6.68,59.946,608.079830340699,2.06970278315725
96,916809,2001-07-10,00:00:00,110200010206,CO,5.0,6.26,759.316,20879.6433691998,59.0496163720863
97,916809,2001-05-02,00:00:00,110200010206,CO,1.6,6.18,39.964,1317.75266896273,4.24309362954944
98,6075219,2007-10-20,,10700040401,NH,14.0,6.4,85.9226,1936.24161277289,4.01203874513364
99,6075219,2007-04-21,,10700040401,NH,6.0,6.1,19.982,849.069104795,2.3146501967844
100,6075301,2007-10-20,,10700040401,NH,14.0,6.5,195.8236,3481.6651416803,7.21418175585107
101,6075301,2007-04-21,,10700040401,NH,8.0,6.8,25.9766,217.633632931969,0.552137567984717
102,6075255,2007-10-20,,10700040301,NH,14.0,6.6,145.8686,2063.19395827447,4.27506421285968
103,6075255,2007-04-21,,10700040301,NH,7.0,6.8,39.964,330.124458947597,0.867928736642454
104,6075243,2007-04-21,,10700040401,NH,8.0,6.8,19.982,167.769390552502,0.425632040374549
105,6080293,2007-04-21,,10700040402,NH,7.0,6.5,155.8596,2552.76315878215,6.71136837973163
106,6080293,2007-10-20,,10700040402,NH,14.0,7.1,627.4348,2771.95819025535,5.74334852091763
107,6076147,2007-04-21,,10700040402,NH,13.0,6.9,165.8506,1158.68519765672,2.47995435347162
108,6076147,2007-10-20,,10700040402,NH,14.0,7.0,519.532,2895.35970949587,5.99910448383672
109,24407271,2015-07-28,11:15:00,170200150903,WA,18.8,7.9,1934.2576,1413.01570866183,2.52294320051108
110,24407271,2011-02-15,12:45:00,170200150903,WA,4.8,8.0,4116.292,1987.62151487842,5.66092158686782
111,24407271,2007-06-06,12:00:00,170200150903,WA,16.4,7.8,1506.6428,1349.5286336603,2.5919585605841
112,24407271,2012-05-30,13:15:00,170200150903,WA,15.6,8.3,1540.6122,426.671402293949,0.840158453995214
113,24407271,2014-10-22,10:21:00,170200150903,WA,13.1,7.0,2078.128,11255.8262234789,24.0072377601097
114,24407271,2008-10-14,11:22:00,170200150903,WA,12.2,7.9,1900.2882,1276.13590976608,2.80356740228379
115,24407271,2006-10-16,10:00:00,170200150903,WA,12.4,8.0,1982.2144,1057.47996172852,2.30787642491862
116,24407271,2014-04-22,10:00:00,170200150903,WA,9.9,7.1,1474.6716,6133.87787607777,14.5623829775267
117,24407271,2013-04-09,10:15:00,170200150903,WA,7.9,6.8,1360.7742,11053.4355529121,28.1377447103507
118,24407271,2006-02-13,09:00:00,170200150903,WA,1.0,8.5,4755.716,688.630694727692,2.26911799317051
119,24407271,2016-07-20,09:40:00,170200150903,WA,18.5,7.54,2138.074,3572.93271073111,6.43677238897923
120,24407271,2013-11-04,10:35:00,170200150903,WA,9.0,8.0,3736.634,1892.42249891113,4.63352744937325
121,24407271,2016-06-14,12:15:00,170200150903,WA,18.8,7.7,1852.3314,2152.12360347283,3.84266091762638
122,24407271,2008-02-12,13:35:00,170200150903,WA,2.4,7.7,2277.948,2174.18601504645,6.78428172020588
123,24407271,2007-07-18,11:30:00,170200150903,WA,19.9,7.7,1638.524,1936.08324742649,3.34644037964829
124,24407271,2012-04-10,11:00:00,170200150903,WA,9.0,8.0,1442.7004,743.095394218692,1.81992610587357
125,24407271,2013-02-19,10:35:00,170200150903,WA,3.4,8.1,4016.382,1517.18518042387,4.55500292050844
126,24407271,2006-07-17,12:00:00,170200150903,WA,19.6,8.1,1752.4214,814.132681389222,1.4196249925999
127,24407271,2018-02-14,12:56:00,170200150903,WA,4.7,8.6,3336.994,398.498386449548,1.13929020388952
128,24407271,2008-07-22,14:30:00,170200150903,WA,19.6,7.8,1868.317,1740.62447326631,3.0351363105147
129,24407271,2018-10-10,12:20:00,170200150903,WA,13.6,7.6,2098.11,2864.77998669969,6.01173507798611
130,24407271,2013-07-23,10:40:00,170200150903,WA,20.7,8.0,1934.2576,1149.40255892592,1.94089506646308
131,24407271,2012-07-18,10:05:00,170200150903,WA,22.3,7.4,1670.4952,4081.38607398771,6.58418847671555
132,24407271,2006-06-05,13:00:00,170200150903,WA,17.0,8.0,1524.6266,865.406567276915,1.63168437228265
133,24407271,2015-02-10,09:55:00,170200150903,WA,8.9,8.0,3936.454,1989.08002408536,4.8870749906776
134,24407271,2007-04-18,10:00:00,170200150903,WA,8.1,8.5,1474.6716,234.175164315342,0.591906532136381
135,24407271,2010-10-13,10:55:00,170200150903,WA,11.8,7.9,2138.074,1426.11027937917,3.17483673573651
136,24407271,2016-03-08,12:15:00,170200150903,WA,10.0,8.48,3956.436,660.047240440685,1.56118607527415
137,24407271,2016-10-17,09:40:00,170200150903,WA,11.7,8.1,2697.57,1125.06004825427,2.51282727881363
138,24407271,2002-01-30,14:10:00,170200150903,WA,1.4,8.5,4495.95,654.231925178591,2.12208772568747
139,24407271,2010-07-12,11:20:00,170200150903,WA,19.9,7.9,1786.3908,1326.24471322197,2.2923190426957
140,24407271,2020-03-02,13:25:00,170200150903,WA,7.5,8.9,3476.868,208.090481421198,0.537160320002533
141,24407271,2017-07-24,12:05:00,170200150903,WA,20.3,8.1,2138.074,999.460327083821,1.70736313738758
142,24407271,2017-04-12,14:37:00,170200150903,WA,11.3,8.22,2797.48,877.49975814219,1.98628070559502
